"","名稱","地址","服務","latitude","longitude"
"82","U ME SPA會館","928台灣屏東縣東港鎮明德路51巷6號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",22.470952986028,120.457999035929
"83","凱沃/米高美/新歡SPA美容","700台灣台南市中西區金華路三段126號3樓","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",22.992054020517,120.193078005776
"84","漂亮寶貝SPA會館","800台灣高雄市新興區七賢二路31號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",22.634524988306,120.30085301972
"85","美麗金邊泰式SPA養生館","80143台灣高雄市前金區七賢二路272號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩拔罐刮痧精油按摩足湯芳療SPA泰式SPA被動式瑜伽踩背",22.632092015181,120.292047998073
"86","城市情人時尚會館","807台灣高雄市三民區九如一路892號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",22.640318014957,120.317429993449
"87","愛唷SPA會館","807台灣高雄市三民區澄清路745號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA",22.647279017906,120.34688299538
"88","全順渼時尚館(新竹)","300台灣新竹市東區南大路7號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽踩背",24.803293316999,120.97905057528
"89","帝足SPA養生會館","330台灣桃園市桃園區復興路35號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓東方指壓台式按摩中式按摩經絡按摩中式推拿精油按摩足湯",24.990818996444,121.317210999
"90","妮妮足體舒壓館","236台灣新北市土城區延平街82號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩臉部護膚臉部按摩修腳皮芳療SPA美容SPA泰式SPA薰香耳燭掏耳朵全身去角質洗頭",24.993281683416,121.46768854068
"91","健康家平價足體養生館","807台灣高雄市三民區澄和路112號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩修腳皮足湯芳療SPA薰香耳燭",22.644885020631,120.343583040099
"92","松苑足體養生館","202台灣基隆市中正區信二路288號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩熱石按摩修腳皮足湯芳療SPA雙人四手全身去角質",25.131278990363,121.74600795924
"93","春芳健康生活館","330台灣桃園市桃園區中正路343號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩經絡按摩中式推拿精油按摩筋骨整復",24.998505997936,121.30850999677
"94","秘境SPA會館","330台灣桃園市桃園區復興路67號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",24.990865013092,121.315561021359
"95","101 SPA養生館","302台灣新竹縣竹北市環北路二段101號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",24.847447003633,121.0183420037
"96","超越男女SPA會館","108台灣台北市萬華區環河南路二段92號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩芳療SPA泰式SPA",25.037100010103,121.495679990154
"97","金龍灣養生館","893台灣金門縣金城鎮民族路93巷5弄42號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",24.430380013972,118.319300030507
"98","久千代企業","328台灣桃園市觀音區長春街285號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩芳療SPA泰式SPA",25.054158985174,121.123837978171
"99","沐森林SPA","640台灣雲林縣斗六市上海路190號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩歐式按摩台式按摩深層組織按摩休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA歐式SPA",23.713471979701,120.540235480545
"100","潔米SPA","432台灣台中市大肚區船頭二街83巷13號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩熱石按摩臉部護膚臉部按摩芳療SPA泰式SPA除毛",24.122138206904,120.552701633681
